Arquivo,Data Encontrada,Formato,Categoria,Contém BROWNFIELD,Contém AIOX,Status,Observações
docs/AGGRESSIVE-CLEANUP-PLAN.md,2026-03-07,ISO (header),Março 2026,Yes,Yes,Current,Cleanup plan executed by Orion 22:00 UTC
docs/architecture/adr/ADR-005-data-fetching-patterns.md,2026-03-01,ISO (inferred),Março 2026,No,No,Current,Data fetching patterns - confirmed current
docs/architecture/adr/ADR-009-agent-messages-user-isolation.md,N/A,N/A,Sem data,No,No,Current,Agent messages isolation - needs verification
docs/architecture/alert-system-implementation-plan.md,2026-03-06,ISO (header),Março 2026,Yes,Yes,Current,Alert system for future implementation
docs/architecture/authorization-matrix.md,N/A,N/A,Sem data,No,No,Current,Authorization matrix - needs verification
docs/architecture/BROWNFIELD-DISCOVERY-AUDIT.md,2026-03-07,ISO (header),Março 2026,Yes,Yes,Current,QA audit for AIOX Brownfield Discovery Phases 1-9
docs/architecture/dashboards.md,N/A,N/A,Sem data,No,No,Current,Dashboards documentation - needs verification
docs/architecture/data/README.md,N/A,N/A,Sem data,No,No,Current,Data architecture README - needs verification
docs/architecture/data-fetching-patterns.md,2026-02-26,Explicit date field,Fevereiro 2026,No,No,Archived,Data revision from Feb 26 - stale
docs/architecture/log-retention-policy.md,2026-02-26,Explicit date field,Fevereiro 2026,No,No,Archived,Data analise from Feb 26 - stale
docs/architecture/module-standards.md,2026-02-26,Explicit date field,Fevereiro 2026,No,No,Current,Module standards used as baseline reference
docs/architecture/secret-rotation.md,N/A,N/A,Sem data,No,No,Current,Secret rotation policy - needs verification
docs/architecture/system-architecture.md,2026-03-06,ISO (header),Março 2026,No,Yes,Current,FASE 1 - System Architecture AIOX Brownfield
docs/CLEANUP-CONSERVATIVE-FINAL.md,N/A,N/A,Sem data,No,No,Administrative,Cleanup document - needs verification
docs/CLEANUP-FINAL-SUMMARY.md,2026-03-07,ISO (header),Março 2026,Yes,Yes,Current,Comprehensive cleanup summary by Aria
docs/CLEANUP-STRATEGY.md,2026-03-07,ISO (header),Março 2026,Yes,Yes,Current,Cleanup strategy with AIOX protection protocol
docs/design-system.md,2026-02-27,ISO + explicit,Fevereiro 2026,No,Yes,Archived,Pre-Brownfield (Feb 27) - superseded by FASE 3
docs/DOCS-ANALYSIS-DEEP-SCAN.md,2026-03-07,ISO (header),Março 2026,Yes,Yes,Current,Deep scan analysis of outdated docs
docs/DOCS-AUDIT-REPORT.md,2026-03-07,ISO (header),Março 2026,Yes,Yes,Current,Quality assurance audit report
docs/DOCS-FINAL-AUDIT-REPORT.md,2026-03-07,ISO (header),Março 2026,Yes,Yes,Current,Final comprehensive documentation audit
docs/frontend/frontend-spec.md,2026-03-06,ISO (header),Março 2026,No,Yes,Current,FASE 3 - Frontend/UX Specification by Uma
docs/plans/portal-tech-ai-evolution-masterplan.md,2026-03-01,ISO (date + time),Março 2026,No,No,Archived,Mar 1 20:55 - AIOS-era references (deprecated)
docs/prd/PLANO-ACAO-10-10.md,2026-02-27,ISO + explicit,Fevereiro 2026,No,No,Archived,Pre-Brownfield (Feb 27) - superseded by FASE 8
docs/prd/technical-debt-assessment.md,2026-03-06,ISO (header),Março 2026,No,Yes,Current,FASE 8 - Final Technical Debt Assessment v3.0-FINAL
docs/prd/technical-debt-DRAFT.md,2026-03-06,ISO (header),Março 2026,No,Yes,Current,FASE 4 - Draft version (superseded by FINAL)
docs/qa/fase7-quality-gate.md,2026-03-07,ISO (inferred),Março 2026,Yes,Yes,Current,FASE 7 - Quality Gate documentation
docs/reports/portal-tech-ai-agents-context.md,2026-03-01,ISO (date),Março 2026,No,No,Archived,Mar 1 - STALE context (pre-FASES 5-9)
docs/reports/TECHNICAL-DEBT-REPORT.md,2026-03-07,ISO (header),Março 2026,Yes,Yes,Current,FASE 9 - Executive Report by Atlas
docs/reviews/db-specialist-review.md,2026-03-06,ISO (inferred),Março 2026,Yes,Yes,Current,FASE 5 - Database Specialist Review by Dara
docs/reviews/ux-specialist-review.md,2026-03-06,ISO (inferred),Março 2026,Yes,Yes,Current,FASE 6 - UX Specialist Review by Uma
docs/SETUP-AI-SERVICE.md,N/A,N/A,Sem data,No,No,Current,AI Service setup guide - no timestamp
docs/stories/4.1-migration-042.md,N/A,N/A,Sem data,No,No,Current,Story 4.1 - Migration 042
docs/stories/4.2-backend-core-factory-validator.md,N/A,N/A,Sem data,No,No,Current,Story 4.2 - Backend factory validator
docs/stories/4.3-backend-session-service-endpoints.md,N/A,N/A,Sem data,No,No,Current,Story 4.3 - Backend session endpoints
docs/stories/4.4-backend-sql-qa-chain-lcel.md,N/A,N/A,Sem data,No,No,Current,Story 4.4 - Backend SQL QA chain
docs/stories/4.5-frontend-chat-ui.md,N/A,N/A,Sem data,No,No,Current,Story 4.5 - Frontend chat UI
docs/stories/4.6-frontend-dashboard-360.md,N/A,N/A,Sem data,No,No,Current,Story 4.6 - Frontend dashboard 360
docs/stories/4.7-migration-043-agent-id-fix.md,N/A,N/A,Sem data,No,No,Current,Story 4.7 - Migration 043 agent ID fix
docs/stories/4.8-api-metrics-session-alignment.md,N/A,N/A,Sem data,No,No,Current,Story 4.8 - Metrics session alignment
docs/stories/4.9-frontend-metrics-contract.md,N/A,N/A,Sem data,No,No,Current,Story 4.9 - Frontend metrics contract
docs/stories/5.1-terminologia-provedores-ia.md,N/A,N/A,Sem data,No,No,Current,Story 5.1 - IA Provider terminology
docs/stories/5.2-provedores-api-key-field-edicao.md,N/A,N/A,Sem data,No,No,Current,Story 5.2 - Provider API key field
docs/stories/5.3-modelos-ia-edicao-form-expandido.md,N/A,N/A,Sem data,No,No,Current,Story 5.3 - IA models expanded form
docs/stories/5.4-tipos-agentes-quick-filters.md,N/A,N/A,Sem data,No,No,Current,Story 5.4 - Agent types quick filters
docs/stories/6.1-migration-limpar-seed-auxiliares.md,N/A,N/A,Sem data,No,No,Current,Story 6.1 - Migration clean auxiliares
docs/stories/7.15-modulo-agentes-100-funcional.md,N/A,N/A,Sem data,No,No,Current,Story 7.15 - Agents module 100% functional
docs/stories/7.8-correcao-gaps-governanca.md,N/A,N/A,Sem data,No,No,Current,Story 7.8 - Governance gaps fix
docs/stories/epic-4-ai-features-chat-360.md,2026-03-01,ISO (inferred),Março 2026,No,No,Archived,Epic 4 - Pre-Brownfield (old cycle)
docs/stories/epic-5-auxiliares-ia-alignment.md,2026-03-01,ISO (inferred),Março 2026,No,No,Archived,Epic 5 - Pre-Brownfield (old cycle)
docs/stories/epic-technical-debt.md,2026-02-28,ISO (inferred),Fevereiro 2026,No,No,Archived,Epic - AIOS-era references (deprecated Feb 28)
docs/stories/epic-ux-10-10.md,2026-02-27,ISO (inferred),Fevereiro 2026,No,No,Archived,Epic UX 10/10 - Old (Feb 27) superseded by series 2.*
docs/stories/story-1.1-hardening-rls-and-secrets.md,N/A,N/A,Sem data,No,No,Current,Story 1.1 - RLS hardening
docs/stories/story-1.2-refactor-front-domain-and-components.md,N/A,N/A,Sem data,No,No,Current,Story 1.2 - Frontend refactoring
docs/stories/story-1.3-ci-and-observability-hardening.md,N/A,N/A,Sem data,No,No,Current,Story 1.3 - CI hardening
docs/stories/story-2.10-async-feedback-patterns.md,N/A,N/A,Sem data,No,No,Current,Story 2.10 - Async feedback patterns
docs/stories/story-2.11-data-fetching-patterns.md,N/A,N/A,Sem data,No,No,Current,Story 2.11 - Data fetching patterns
docs/stories/story-2.12-ai-context-optimization.md,N/A,N/A,Sem data,No,No,Current,Story 2.12 - AI context optimization
docs/stories/story-2.13-sidebar-reorganization.md,N/A,N/A,Sem data,No,No,Current,Story 2.13 - Sidebar reorganization
docs/stories/story-2.14-erp-readonly-banner.md,N/A,N/A,Sem data,No,No,Current,Story 2.14 - ERP readonly banner
docs/stories/story-2.15-db-period-indexes.md,N/A,N/A,Sem data,No,No,Current,Story 2.15 - Database period indexes
docs/stories/story-2.16-fix-week-start-bug.md,N/A,N/A,Sem data,No,No,Current,Story 2.16 - Week start bug fix
docs/stories/story-2.17-cronograma-kanban-view.md,N/A,N/A,Sem data,No,No,Current,Story 2.17 - Cronograma kanban view
docs/stories/story-2.18-cronograma-table-view.md,N/A,N/A,Sem data,No,No,Current,Story 2.18 - Cronograma table view
docs/stories/story-2.19-hide-completed.md,N/A,N/A,Sem data,No,No,Current,Story 2.19 - Hide completed
docs/stories/story-2.1-design-system-documentation.md,N/A,N/A,Sem data,No,No,Current,Story 2.1 - Design system docs
docs/stories/story-2.20-projetos-dnd-off.md,N/A,N/A,Sem data,No,No,Current,Story 2.20 - Projects drag-n-drop off
docs/stories/story-2.21-viewmode-kanban-filterbar.md,N/A,N/A,Sem data,No,No,Current,Story 2.21 - Viewmode kanban filterbar
docs/stories/story-2.22-skip-navigation-wcag.md,N/A,N/A,Sem data,No,No,Current,Story 2.22 - Skip navigation WCAG
docs/stories/story-2.23-feedback-unified-api.md,N/A,N/A,Sem data,No,No,Current,Story 2.23 - Unified feedback API
docs/stories/story-2.24-empty-state-standardized.md,N/A,N/A,Sem data,No,No,Current,Story 2.24 - Standardized empty states
docs/stories/story-2.25-rls-ci-automation.md,N/A,N/A,Sem data,No,No,Current,Story 2.25 - RLS CI automation
docs/stories/story-2.26-security-hardening-tokens.md,N/A,N/A,Sem data,No,No,Current,Story 2.26 - Token security hardening
docs/stories/story-2.27-db-governance-log-retention.md,N/A,N/A,Sem data,No,No,Current,Story 2.27 - Database log retention
docs/stories/story-2.2-error-boundary-and-state-patterns.md,N/A,N/A,Sem data,No,No,Current,Story 2.2 - Error boundary patterns
docs/stories/story-2.3-persona-journeys.md,N/A,N/A,Sem data,No,No,Current,Story 2.3 - Persona journeys
docs/stories/story-2.4-decompose-cronogramas-content.md,N/A,N/A,Sem data,No,No,Current,Story 2.4 - Decompose cronogramas
docs/stories/story-2.5-decompose-projects-content.md,N/A,N/A,Sem data,No,No,Current,Story 2.5 - Decompose projects
docs/stories/story-2.6-extract-domain-logic.md,N/A,N/A,Sem data,No,No,Current,Story 2.6 - Extract domain logic
docs/stories/story-2.7-align-auxiliares-baseline.md,N/A,N/A,Sem data,No,No,Current,Story 2.7 - Align auxiliares baseline
docs/stories/story-2.8-accessibility-baseline.md,N/A,N/A,Sem data,No,No,Current,Story 2.8 - Accessibility baseline
docs/stories/story-2.9-critical-component-tests.md,N/A,N/A,Sem data,No,No,Current,Story 2.9 - Critical component tests
docs/stories/story-3.1-remover-todas-atividades.md,N/A,N/A,Sem data,No,No,Completed,Story 3.1 - DONE 2026-03-01
docs/stories/story-3.2-reposicionar-kpis-cronogramas.md,N/A,N/A,Sem data,No,No,Completed,Story 3.2 - DONE 2026-03-01
